i,theta_i,se_robust,t_stat,model
113FF,5.601953570753956e-05,0.16451522431000262,0.0003405127758995709,commongamma
211,5.802770991322604e-05,0.09110721943149165,0.0006369167040254165,commongamma
212,0.2093084830367937,0.09656396210289891,2.1675631206365975,commongamma
213,0.43780362250485727,0.09609196883612504,4.556089627547191,commongamma
22,0.24876207215528895,0.10405175357066546,2.390753289768877,commongamma
23,0.46049821420197534,0.06595480901807158,6.982026345884788,commongamma
311FT,5.96798521513521e-05,0.2171244117323393,0.000274864773035851,commongamma
313TT,0.503502767294286,0.20893110859612582,2.4098985099800614,commongamma
315AL,1.2419483483887812,0.17953483426754724,6.917589856339518,commongamma
321,0.44665497283477806,0.09190196751108266,4.860124161987228,commongamma
322,5.923721726831771e-05,0.10946658428210437,0.0005411442921764923,commongamma
323,0.670906866813432,0.22169030010708055,3.0263248617073977,commongamma
324,5.532199359596137e-05,0.2511202113433107,0.00022030084038249606,commongamma
325,0.17107530089907616,0.0995079800376776,1.7192118746084522,commongamma
326,0.021701352755533764,0.0908697994457203,0.2388180989493296,commongamma
327,0.09272349041136721,0.08456555020704018,1.096468836120076,commongamma
331,0.4188890993509351,0.08147953665208693,5.141034381915648,commongamma
332,0.3205144466439794,0.18664317499234787,1.7172577923469212,commongamma
333,0.42088864072418397,0.1679075311779018,2.5066692230632763,commongamma
334,0.36537164471428174,0.15950891411959894,2.2906032978215123,commongamma
335,0.43409704879994854,0.11869017679951106,3.6573965976410676,commongamma
3361MV,0.5287004718326572,0.13646202356673984,3.8743414322453185,commongamma
3364OT,0.4055865237541602,0.1806177233065956,2.245552187952695,commongamma
337,0.41971577746206085,0.14677869028429022,2.859514393057527,commongamma
339,0.5286828961368413,0.0683092123337684,7.739554857602844,commongamma
42,0.6382599517064904,0.14356455116326328,4.445804667899207,commongamma
441,0.2907529325122097,0.11357941855037267,2.5599086192122056,commongamma
445,0.22752042039754844,0.13766407169455783,1.65272185833904,commongamma
452,0.8944602271107455,0.3790282386425863,2.359877539241075,commongamma
481,0.11780028827619352,0.1315209035829955,0.8956773035083075,commongamma
482,4.7272100289306235e-05,0.13168792407269087,0.00035897065446344455,commongamma
483,5.317196871018634e-05,0.3359560475688929,0.00015827061038180187,commongamma
484,0.3142943340963238,0.12234219917538317,2.568977312936548,commongamma
485,0.7843277991917811,0.1667190552520565,4.7044880263145945,commongamma
486,0.4190830366243009,0.2795112111685073,1.4993424946080276,commongamma
487OS,0.4381940967021878,0.15607526898713503,2.8075818772947767,commongamma
493,0.1710506569826571,0.16501934859822145,1.0365490982461716,commongamma
4A0,0.629630264791328,0.12786422032027364,4.924209940937608,commongamma
511,0.9849702139179485,0.12523469259729647,7.864994862767058,commongamma
512,0.7101420256751406,0.23227589609147933,3.0573212185368512,commongamma
513,0.8317027135340201,0.17682216968329048,4.703611063158531,commongamma
514,0.532060885762165,0.18132959721241151,2.934219751996156,commongamma
521CI,0.4397227249487601,0.13664238044362104,3.2180552147961934,commongamma
523,0.5709925587206373,0.11139299528053526,5.1259287649338585,commongamma
524,1.2350563727931931,0.5905336945368262,2.0914240528847143,commongamma
525,0.5779023307393871,0.40596138757964384,1.4235401405657353,commongamma
532RL,0.2887670767059979,0.10983586833118092,2.6290781062093247,commongamma
5411,0.5041139235696179,0.2132490798616249,2.36396763773486,commongamma
5412OP,0.6583047384299014,0.1783073423289599,3.691966521577067,commongamma
5415,0.8472429615992847,0.21629739914839063,3.9170279667488486,commongamma
55,0.6747064981513172,0.1868543641329045,3.610868289227736,commongamma
561,0.38836326287093803,0.11810093414473495,3.2884012788162322,commongamma
562,0.11920949696390487,0.1851454229877455,0.6438695326094838,commongamma
61,0.4360487839460823,0.13661760427332423,3.191746673244984,commongamma
621,0.8116990475409327,0.11678880876915375,6.950144077120843,commongamma
622,0.04898916313638307,0.09984784620836168,0.49063815592128923,commongamma
623,0.204982943025108,0.12840158768805154,1.5964206262239446,commongamma
624,2.817071007233824,0.44146264462863577,6.381221699071689,commongamma
711AS,0.5437483285550969,0.30517255560757445,1.781773355970811,commongamma
713,0.15793511276104857,0.09180611898493221,1.7203113965308767,commongamma
721,0.1277908012170955,0.12364829432327236,1.0335023375493781,commongamma
722,0.2365244219979655,0.08636081124200382,2.738793424892305,commongamma
81,0.19146853730569588,0.09075728218383676,2.1096768512510073,commongamma
HS,2.2723687635308782,0.6571964781777244,3.4576703299319353,commongamma
ORE,4.7827944303520315e-05,0.26822327649043615,0.00017831392163023435,commongamma
111CA,0.34384777620972623,0.11377288346834705,3.0222296010049594,nogamma_i-specific
113FF,4.001475164134365e-05,0.16637748909094766,0.0002405058031586846,nogamma_i-specific
211,1.5427631998283934e-05,0.10460978948460942,0.00014747789928927927,nogamma_i-specific
212,0.1908131286467577,0.1033781771441563,1.8457776478364212,nogamma_i-specific
213,0.42410095258674974,0.10874629181147853,3.8999118546678067,nogamma_i-specific
22,0.24735711798436133,0.10313477345645293,2.398387175289662,nogamma_i-specific
23,0.39792287392657155,0.07011459913965655,5.675321242783914,nogamma_i-specific
311FT,3.486065055718878e-05,0.2171242683095128,0.00016055621432190426,nogamma_i-specific
313TT,0.12414092664682044,0.16081760866254763,0.771936155992172,nogamma_i-specific
315AL,0.5174217693790293,0.6624782810476246,0.7810395965899334,nogamma_i-specific
321,0.37697650632927804,0.09150340633362156,4.119808446855203,nogamma_i-specific
322,3.594555442152649e-05,0.11059932077097884,0.0003250070088220521,nogamma_i-specific
323,0.3070823109063931,0.1365521592233518,2.2488279398358935,nogamma_i-specific
324,4.172358449064152e-05,0.2551738265695074,0.00016351043934075403,nogamma_i-specific
325,0.12316305888789156,0.11453209768159167,1.0753584486882852,nogamma_i-specific
326,3.536485913124814e-05,0.0875563371431459,0.00040390976010600026,nogamma_i-specific
327,0.022655199550126133,0.08046187296541302,0.28156440703119845,nogamma_i-specific
331,0.3556680986442124,0.08356319112759888,4.256277122077784,nogamma_i-specific
332,0.12056732844327539,0.1935286781340825,0.6229946362768143,nogamma_i-specific
333,0.1848263699681974,0.17583365953576366,1.0511432819869433,nogamma_i-specific
334,0.19102310814790713,0.1714486570811383,1.1141709209043569,nogamma_i-specific
335,0.36581713029958707,0.123782882810162,2.955312737873602,nogamma_i-specific
3361MV,0.3361053812172346,0.14339907099639732,2.3438462946923746,nogamma_i-specific
3364OT,0.20922922191325724,0.2030667941875653,1.0303468016538437,nogamma_i-specific
337,0.17777020842756014,0.15400109536132783,1.1543437922338384,nogamma_i-specific
339,0.46491050136118417,0.0717302788656176,6.481370332215859,nogamma_i-specific
42,0.5043877771819497,0.15824532384040135,3.1873787164204046,nogamma_i-specific
441,0.23736649061882176,0.11269176901543933,2.106333875957714,nogamma_i-specific
445,0.20167515465031527,0.13969964616045208,1.44363396896998,nogamma_i-specific
452,0.3760498065591282,0.26341639316866394,1.4275869547661209,nogamma_i-specific
481,0.11685747073903133,0.12261393050576944,0.9530521553057363,nogamma_i-specific
482,9.678105261700585e-07,0.13168557988962445,7.349403989269387e-06,nogamma_i-specific
483,4.626250206509677e-05,0.340548028198028,0.0001358472175272594,nogamma_i-specific
484,0.3025695468082222,0.11481728447864041,2.635226465963925,nogamma_i-specific
485,0.7774140058411707,0.1678893249640127,4.630514810919696,nogamma_i-specific
486,0.4132294185002342,0.2824463413766192,1.4630368957381055,nogamma_i-specific
487OS,0.4310916719364839,0.1572167427756817,2.7420213924134624,nogamma_i-specific
493,0.15045608540670224,0.16675127836786172,0.9022784525512815,nogamma_i-specific
4A0,0.4936586034616109,0.14320249731403795,3.4472764981118678,nogamma_i-specific
511,0.909435906056131,0.14941388266532638,6.086689468429018,nogamma_i-specific
512,0.527223988857013,0.29576215017460983,1.7825945224760995,nogamma_i-specific
513,0.7277819422188182,0.20392069687934355,3.568945935141809,nogamma_i-specific
514,0.42229331808040754,0.2026358162727771,2.084001366826187,nogamma_i-specific
521CI,0.43977542510553996,0.1366404466038817,3.218486444064702,nogamma_i-specific
523,0.5709739326460629,0.11139378666058367,5.125725139282838,nogamma_i-specific
524,1.2350012614960002,0.5905309195774138,2.0913405556812705,nogamma_i-specific
525,0.5778881423336825,0.40596167115269133,1.4235041960804367,nogamma_i-specific
532RL,0.2741140821204294,0.11118260536984238,2.4654403556078317,nogamma_i-specific
5411,0.3554309065203856,0.24212418444032538,1.467969452708621,nogamma_i-specific
5412OP,0.5434741779024471,0.20068483207383228,2.7080979279116724,nogamma_i-specific
5415,0.7376895565913119,0.24917782939772898,2.96049435206307,nogamma_i-specific
55,0.5548298252983828,0.2142069862600259,2.590157468649854,nogamma_i-specific
561,0.33718047253464284,0.11885848464229821,2.8368229121326882,nogamma_i-specific
562,0.032901026658262535,0.1857429173082143,0.1771320658416703,nogamma_i-specific
61,0.3928248035638078,0.13955100177220744,2.8149192666135456,nogamma_i-specific
621,0.6636026688430807,0.14630327306560695,4.535801933463926,nogamma_i-specific
622,0.03885987026015224,0.10001770483053661,0.3885299140386578,nogamma_i-specific
